"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-Srp19",1259.45013581005,2.28687433072287,0.342371153544287,4.01775861731181e-12,2.84522906164734e-10,"up"
"gene-E(bx)",207.234929678664,-2.34649433753949,0.352673021665996,4.09543262205139e-12,2.88063875645642e-10,"down"
"gene-Tmem131",129.192314390964,-7.52036848840016,1.07978787988429,4.38297272887014e-12,3.06219772533813e-10,"down"
"gene-fliI",421.885947861368,-3.05266397524001,0.463744403602982,4.53820808830021e-12,3.14951641328035e-10,"down"
"gene-mRpS18C",353.893859958794,2.84686083462801,0.431391772311845,4.80885856784448e-12,3.31524620471928e-10,"up"
"gene-Uba1",4359.98310631197,-4.501941171254,0.692160740984423,4.97686726117102e-12,3.40849922294673e-10,"down"
"gene-LOC142974129",23175.0584215893,3.15368420545323,0.479702079411589,5.05458631281499e-12,3.41676905950676e-10,"up"
"gene-SNRPG",819.636837864612,2.72380387152918,0.412367369936127,5.03745081502641e-12,3.41676905950676e-10,"up"
"gene-LOC142980066",235.988984889008,4.04814723743775,0.619704865277969,5.15821563049845e-12,3.4643241750638e-10,"up"
"gene-LOC142983258",408.185541744502,-3.79200969220946,0.581787728328174,5.30875713240739e-12,3.52001030244337e-10,"down"
"gene-LOC142975852",86.5849240714638,-3.72172222062491,0.567189125150415,5.30301637736582e-12,3.52001030244337e-10,"down"
"gene-LOC142983254",2501.25188235847,3.25234728600549,0.496670210058917,5.7152165903123e-12,3.76553194336399e-10,"up"
"gene-RpS17",44251.0912241287,2.80270670854382,0.429252563548287,5.97153948318106e-12,3.9096683031393e-10,"up"
"gene-LOC142981038",2580.96923119257,3.11247505113132,0.476070617996268,6.48244722105012e-12,4.21764222319573e-10,"up"
"gene-LOC142987335",39303.2083858955,3.29994126795117,0.506786262916399,7.26269291087581e-12,4.69593995044827e-10,"up"
"gene-RpL30",29987.6078461367,2.83817379272637,0.43665256111546,7.82236647358874e-12,5.02659475247276e-10,"up"
"gene-LOC142978499",3948.06540065794,2.34683068305059,0.358057821205091,8.49017733935165e-12,5.42225436212581e-10,"up"
"gene-mbl",830.355321282522,-3.07432011876855,0.474509892054948,8.98078166832375e-12,5.70060592483233e-10,"down"
"gene-LOC142981931",314.095308686948,-5.1941316682715,0.816044222613915,9.45481892625089e-12,5.92919668808866e-10,"down"
"gene-LOC142980021",15024.5592038706,2.99137812226283,0.461015361800622,9.44183111702096e-12,5.92919668808866e-10,"up"
"gene-LOC142977922",1022.81653757544,2.72738944554284,0.419580188811616,1.00299362517942e-11,6.25219379528012e-10,"up"
"gene-MagR",1124.97577956398,2.15704690032294,0.329043759678396,1.01902385279534e-11,6.31430851642826e-10,"up"
"gene-LOC142979247",1017.63420983046,-2.76959352602456,0.428419079362709,1.2666730508182e-11,7.80240618876771e-10,"down"
"gene-MED21",657.21509252307,2.21860005017383,0.341061661041505,1.36365306430695e-11,8.31661698249464e-10,"up"
"gene-Hcf",476.295361174722,-2.13732524126719,0.328555090904541,1.3661301671533e-11,8.31661698249464e-10,"down"
"gene-LOC142975815",1826.46912618337,-6.22198048469773,0.990174149740308,1.47379161618312e-11,8.91986670027108e-10,"down"
"gene-LOC142986285",154.637922344445,-2.76357732159477,0.429666021678558,1.50041140370267e-11,9.02848711707791e-10,"down"
"gene-Swim",2859.65416371999,-3.99154217860331,0.629147181648066,1.59040454781889e-11,9.51500651884752e-10,"down"
"gene-LOC142987402",3458.15294348791,2.94921695567821,0.459586398467678,1.60255530865674e-11,9.53291472178093e-10,"up"
"gene-LOC142978713",1008.4269164556,2.69265263161188,0.41886480627781,1.66625581637733e-11,9.85552445936816e-10,"up"
"gene-LOC142972268",303.054431198935,-2.68430342177386,0.418343678595672,1.71434114952926e-11,1.00826504896043e-09,"down"
"gene-LOC142987375",4845.5894405148,2.83490919319949,0.442777567353587,1.79737433789591e-11,1.05115968010281e-09,"up"
"gene-LOC142978501",388.207684550249,-2.3554616302878,0.365501906409189,1.80746957481655e-11,1.05115968010281e-09,"down"
"gene-LOC142973503",414.653456044651,-2.19797686342118,0.340794671499887,1.87778532392722e-11,1.08598584567124e-09,"down"
"gene-LOC142979334",4134.0566455671,4.09400788157811,0.647815036232492,1.94845238174125e-11,1.11447193922672e-09,"up"
"gene-RpL14",38854.7473672159,2.47629268075951,0.385299731121322,1.94359751997011e-11,1.11447193922672e-09,"up"
"gene-LOC142981380",109.670985071848,4.19738386764259,0.666158710581067,2.03568671693167e-11,1.15800539471359e-09,"up"
"gene-LOC142974063",1590.23923489356,2.91731951083809,0.457804845038707,2.0971041785333e-11,1.18645948361585e-09,"up"
"gene-LOC142972650",2828.30712727344,2.43217611791201,0.379764763862116,2.17811180994024e-11,1.21927901048156e-09,"up"
